PROGRAMA;A;B;C;D;E;F_;G;H;I;J;K;L;M;N;O;P;Q;R;S;T_;U;V;W;X;Y;Z;AA;AB;AC;AD;AE;AF;AG;AH;AI;AJ;AK;AL;AM;AN;AO;AP;AQ;AR;AS;AT;AU;AV;AW;AX;AY;AZ;BA;BB
HidrAulica, Mencion Gestion de Recursos Hidricos;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Optometria, Mencion Contactologia y Terapia Visual;8;9;9;8;9;8;8;9;8;9;8;8;9;8;8;8;8;8;8;8;8;7;7;7;9;9;8;9;8;7;8;9;9;8;8;7;8;8;9;8;8;9;6;8;8;9;8;7;9;8;8;8;8;8
Educacion, Mencion Ensenanza BAsica;8;9;9;8;9;8;9;9;7;9;9;9;9;9;9;9;8;9;8;9;9;9;7;6;8;8;8;7;7;4;5;8;9;8;7;7;6;8;8;8;8;8;6;8;8;8;8;7;8;8;9;9;9;9
HidrAulica, Mencion Gestion de Recursos Hidricos;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;1;5;5;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Agroindustria;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;5;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Educacion, Mencion Ensenanza BAsica;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9
HidrAulica, Mencion Gestion de Recursos Hidricos;9;9;9;9;9;9;7;9;9;8;7;7;9;9;9;9;9;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Educacion, Mencion Ensenanza BAsica;5;6;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Educacion, Mencion Ensenanza BAsica;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Produccion Agricola Sostenible;9;9;9;9;9;9;9;8;9;9;8;9;9;9;8;8;9;8;9;9;8;7;9;9;6;9;8;4;8;6;5;7;7;7;9;9;9;9;9;9;9;9;8;8;9;9;9;9;9;9;9;9;9;9
Agroindustria;7;8;8;8;8;8;8;8;8;8;7;7;7;8;8;8;8;8;8;8;8;5;5;7;6;7;7;7;8;4;6;6;7;4;7;8;5;7;7;8;8;9;8;8;7;8;8;8;7;8;8;8;8;8
HidrAulica, Mencion Gestion de Recursos Hidricos;7;6;7;7;6;6;6;8;9;9;7;7;9;8;7;8;8;9;9;8;8;8;9;8;7;7;8;8;8;8;8;8;8;1;7;8;7;8;1;6;6;1;6;8;8;4;7;5;6;6;7;8;3;6
Educacion, Mencion Ensenanza BAsica;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Agricultura Sostenible;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
HidrAulica, Mencion Gestion de Recursos Hidricos;9;9;8;9;9;8;8;9;9;8;9;8;9;9;9;9;9;9;8;8;8;8;8;9;8;8;8;8;9;8;9;9;9;6;8;8;8;7;5;8;8;6;5;8;8;8;8;7;8;8;8;8;8;8
MatemAtica;7;8;7;8;8;8;7;8;7;8;7;8;8;8;7;8;8;8;8;8;8;8;8;8;9;9;9;9;9;8;8;8;9;9;9;8;8;9;9;8;8;9;9;9;9;9;8;8;8;9;9;9;9;9
Agronomia, Mencion Produccion Agricola Sostenible;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
MatemAtica;5;9;9;5;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;5;9;5;7;7;7;7;7;7;8;8;7;9;9;9;9;1;9;9;9;9;9;7;7;9;9;9;9;7;8;9;9
MatemAtica;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;6;7;9;9;9;9;9;2;8;9;9;8;7;8;6;8;6;8;8;9;9;9;9;9;9;9;8;9;9;9;9;9
Educacion, Mencion Ensenanza BAsica;7;8;9;9;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;7;7;9;9;7;5;9;7;8;9;9;8;9;9;9;9;9;9;9;9;7;7;8;9;9;8;8;8;9;9;9;8
HidrAulica, Mencion Gestion de Recursos Hidricos;7;9;9;9;9;9;7;9;9;8;6;5;8;7;7;7;5;4;4;8;5;5;6;7;8;8;7;8;8;7;9;7;8;1;8;8;6;5;7;8;8;6;8;6;8;9;8;7;7;7;9;8;9;7
MatemAtica;5;5;5;9;7;9;9;9;8;8;8;7;9;8;8;9;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
HidrAulica, Mencion Gestion de Recursos Hidricos;9;9;9;8;8;9;7;9;9;8;7;8;9;9;8;8;8;9;9;8;9;8;8;9;8;8;9;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;7;8;9;9;9;9;9;9;8;8;8;8
Agronomia, Mencion Produccion Agricola Sostenible;7;8;9;8;8;5;6;9;5;8;7;8;7;9;6;5;7;7;7;7;3;3;3;7;8;8;6;7;9;9;9;9;9;1;5;8;9;7;5;9;6;9;9;9;9;9;9;9;9;9;9;8;7;8
Agronomia, Mencion Agricultura Sostenible;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;8;8
Agronomia, Mencion Agricultura Sostenible;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Agroindustria;9;9;9;9;9;9;7;9;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8
Agronomia, Mencion Agricultura Sostenible;9;8;9;9;9;9;9;9;9;9;8;8;9;9;9;9;9;9;9;9;8;8;7;8;8;8;7;8;8;7;7;8;9;8;9;9;8;8;8;9;9;9;5;7;8;9;8;9;8;8;9;9;9;9
MatemAtica;9;8;9;9;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;6;9;7;7;2;9;9;7;9;9;8;8;9;9;9;9
Optometria, Mencion Contactologia y Terapia Visual;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
MatemAtica;8;8;5;9;9;9;7;9;8;8;7;8;9;8;9;8;9;8;9;8;9;9;8;8;9;8;8;7;2;9;8;8;8;6;6;7;9;9;5;6;7;5;8;9;7;8;8;5;7;7;8;8;8;9
Agroindustria;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Produccion Agricola Sostenible;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;6;9;9;9;9;9;9;8;8;8;8;9;9;9;9;9;4;9;8;9;8;9;9;9;9;8;9;9
Agronomia, Mencion Agricultura Sostenible;9;9;9;8;9;9;8;8;7;7;7;8;9;9;9;9;8;9;9;8;8;8;8;7;9;8;9;8;8;9;8;9;9;1;7;9;9;9;1;5;8;8;9;9;8;9;9;5;9;9;9;9;9;9
Agronomia, Mencion Agricultura Sostenible;9;9;9;9;6;9;8;8;9;7;7;8;8;8;8;8;8;8;8;7;5;5;5;7;9;7;5;8;6;9;9;9;9;9;8;8;8;8;5;9;9;9;9;9;8;9;9;9;9;7;8;7;8;7
Educacion, Mencion Ensenanza BAsica;8;8;2;9;7;8;8;9;8;9;9;9;9;9;9;9;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9;8;8;8;8;8;9;8;8;8;9;8;8;8;8;8;8;9;8;8;8;8;8
Agroindustria;9;9;9;9;9;9;8;8;7;8;8;8;9;9;9;9;7;8;8;8;7;8;8;7;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8;8;8;9;8;8;8
MatemAtica;9;9;9;9;9;9;9;9;9;9;7;9;9;9;9;9;9;9;9;9;8;8;9;9;9;9;8;7;5;5;5;9;9;5;9;9;9;9;7;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9
MatemAtica;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Produccion Agricola Sostenible;9;9;9;8;9;9;8;9;8;8;9;9;9;9;8;9;9;9;9;9;9;8;9;9;8;8;7;8;8;9;7;9;9;8;8;9;8;8;8;9;8;9;8;8;9;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Agricultura Sostenible;9;8;7;9;9;9;7;9;9;9;9;8;9;9;9;9;9;9;9;9;6;7;8;7;7;8;3;6;9;7;7;8;8;6;8;9;9;9;4;8;8;7;7;7;9;8;7;7;7;7;7;7;8;8
Agroindustria;8;6;8;7;7;8;7;8;7;7;7;7;7;7;7;7;7;7;7;7;8;7;8;8;8;8;8;8;8;8;7;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
MatemAtica;7;9;7;4;8;5;9;9;9;9;9;9;9;9;9;9;9;9;9;9;3;5;3;5;9;9;9;5;4;9;7;7;9;3;7;9;4;9;5;9;7;7;1;9;8;7;7;9;9;7;9;9;9;9
Agroindustria;7;7;7;7;7;7;6;7;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7;8;7;8;7;8;8;8;8;7;7;8;7;7;7;7;7;7;7;8;7;7;8;7;7;8;8;8;8;8;8;8
Agroindustria;8;6;7;9;8;9;6;7;8;7;7;6;7;8;7;7;7;7;7;7;6;7;7;8;5;6;6;6;5;7;5;7;8;4;7;7;6;7;7;9;9;9;9;7;7;8;8;9;7;6;9;7;8;7
Optometria, Mencion Contactologia y Terapia Visual;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;7;8;9;9;5;7;9;9;9;9;9;9;9;9;8;9;9;9;9;9;5;9;9;9;9;9;7;9;9;9;9;9
MatemAtica;8;8;9;8;8;8;9;9;9;9;9;8;9;9;9;9;9;9;9;9;8;9;5;8;8;8;9;6;5;8;9;9;9;5;9;9;8;9;9;9;9;9;3;9;9;9;9;9;9;9;9;8;9;9
Agronomia, Mencion Produccion Agricola Sostenible;5;9;7;9;9;9;7;8;6;9;7;5;8;7;7;7;7;8;7;8;7;1;5;6;9;8;7;1;8;8;1;5;7;7;7;7;8;7;8;7;7;8;8;9;8;2;7;7;7;5;4;7;4;7
MatemAtica;7;8;9;9;6;7;9;8;8;7;7;6;5;6;8;6;7;7;7;7;8;8;7;9;9;8;7;7;5;8;7;9;9;7;7;8;8;7;9;8;9;9;9;8;8;8;8;9;9;9;9;9;8;8
MatemAtica;7;7;8;8;8;7;7;8;8;8;7;7;9;8;7;8;8;8;8;9;8;7;7;7;9;8;8;7;7;5;6;6;7;7;7;9;6;8;7;7;7;8;3;8;7;5;7;5;7;7;8;8;8;7
Agronomia, Mencion Agricultura Sostenible;9;9;8;7;9;9;9;9;9;9;9;9;8;8;8;9;9;9;9;9;5;7;7;7;9;9;8;9;6;9;8;9;9;6;9;9;9;9;5;6;6;7;8;8;9;9;9;7;9;9;9;8;8;9
Desarrollo Local;7;7;9;8;9;8;7;7;8;7;8;9;8;8;8;8;8;8;8;8;7;8;8;8;8;8;8;7;7;6;6;8;8;5;7;7;7;7;5;8;7;8;5;8;7;7;7;8;8;8;8;8;8;8
Agroindustria;6;9;8;8;9;8;9;8;8;8;9;8;9;8;9;8;8;8;9;8;7;8;8;7;8;9;8;8;9;7;8;8;7;8;9;9;9;9;9;8;8;9;8;9;8;8;9;9;9;9;9;8;7;8
Desarrollo Local;9;9;8;9;9;9;8;9;9;9;9;8;9;9;9;9;9;9;9;7;9;8;8;8;8;8;8;7;9;9;9;9;9;9;9;9;9;9;5;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9
Agroindustria;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;8;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Mecanizacion Agricola;8;9;9;9;9;8;8;8;9;9;7;8;9;9;9;8;9;8;8;8;9;7;9;9;8;8;8;7;9;8;8;9;9;7;9;9;8;9;9;9;9;9;6;9;9;9;9;9;9;9;9;9;9;8
Optometria, Mencion Contactologia y Terapia Visual;9;9;7;8;9;9;9;9;9;9;9;7;9;9;8;9;9;9;8;9;8;9;7;9;9;9;9;5;9;4;7;7;8;8;8;8;8;8;7;8;8;8;9;8;8;8;8;6;8;9;9;8;8;8
Educacion, Mencion Ensenanza BAsica;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Optometria, Mencion Contactologia y Terapia Visual;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Mecanizacion Agricola;8;8;9;8;8;8;9;9;8;8;8;7;9;8;8;8;8;8;8;9;9;8;8;8;8;8;7;7;7;7;7;7;8;7;7;9;8;7;9;9;8;9;5;8;8;8;8;8;8;7;8;8;8;8
Desarrollo Local;9;7;8;9;9;9;6;9;9;9;7;7;9;9;9;9;9;9;8;8;9;9;9;9;9;9;8;8;8;5;5;7;9;7;9;9;9;9;7;9;9;9;9;9;9;5;9;9;9;8;8;8;9;9
Agroindustria;8;8;9;9;9;7;7;9;8;8;7;7;8;6;7;7;7;7;6;8;8;7;7;8;9;9;7;9;8;7;5;8;9;8;8;7;7;7;7;9;9;9;9;9;8;8;8;9;8;7;8;8;8;7
MatemAtica;8;8;8;8;8;8;8;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9;8;8;8;8;8;7;8;8;9;8;8;8;8;8;8;9;8;8;8;9;9;9;9;9;9;8;9;9;9;9
Optometria, Mencion Contactologia y Terapia Visual;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;8;6;8;9;9;9;8;3;7;5;7;8;7;9;9;9;9;9;9;9;9;9;2;7;9;9;9;9;9;8;9;9;9;9
MatemAtica;6;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;7;8;9;9;9;9;8;8;6;9;9;7;4;2;1;9;9;8;9;9;9;7;9;9;9;9;1;9;8;9;9;9;9;9;9;5;9;9
MatemAtica;7;8;9;9;3;9;9;9;9;8;8;7;9;9;9;9;9;9;9;9;5;7;6;9;6;8;5;1;5;4;7;7;9;6;6;9;6;9;5;7;7;7;1;8;8;7;7;5;6;6;8;8;8;8
MatemAtica;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;1;9;9;9;5;1;8;9;8;9;9;5;9;9;8;9;9;9;9;9;4;9;9;9;9;9;9;9;9;9;9;9
MatemAtica;8;8;9;8;9;9;9;9;9;9;8;8;9;9;9;9;9;9;9;8;7;6;6;7;9;9;9;6;7;6;8;9;9;8;6;9;4;9;7;9;7;9;7;8;8;8;8;7;7;7;8;8;9;8
Desarrollo Local;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;8;8;7;7;8;9;8;8;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Alimentos;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;5;9;9;9;9;9;9
HidrAulica, Mencion Gestion de Recursos Hidricos;9;9;9;9;9;8;7;9;9;8;8;7;9;9;9;8;9;9;7;9;8;7;8;8;7;8;8;8;8;7;8;8;8;8;8;8;8;8;8;9;8;8;9;8;8;9;8;9;8;8;8;8;8;9
Agronomia, Mencion Agricultura Sostenible;7;7;8;8;8;7;6;7;8;7;6;7;8;8;7;8;7;8;7;7;8;7;7;8;7;7;7;7;7;7;7;7;8;8;7;8;8;7;7;7;7;7;7;7;7;7;8;7;7;8;7;7;7;8
Agronomia, Mencion Mecanizacion Agricola;8;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Desarrollo Local;9;7;9;7;1;5;9;5;1;2;5;5;9;9;8;6;7;6;6;5;5;5;1;2;5;5;5;1;3;2;1;4;3;1;1;2;3;4;1;1;3;1;1;5;1;3;5;2;5;3;5;5;6;6
Agronomia, Mencion Mecanizacion Agricola;9;9;9;9;9;9;6;9;9;8;8;6;9;8;8;9;9;8;7;8;8;9;8;8;9;9;8;9;8;8;9;8;9;9;8;9;8;9;8;8;8;8;8;9;9;9;9;9;9;7;8;9;9;9
Desarrollo Local;9;9;9;9;6;8;9;8;8;8;7;8;9;9;9;9;9;9;9;8;8;8;8;8;9;8;9;8;9;8;8;8;9;9;9;8;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Agricultura Sostenible;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
HidrAulica, Mencion Gestion de Recursos Hidricos;9;9;9;9;9;9;7;9;9;9;9;7;9;9;9;9;9;8;8;9;9;8;8;8;8;8;7;7;5;9;5;9;9;5;8;7;7;8;8;7;9;9;7;9;9;9;9;9;9;7;9;9;9;8
Desarrollo Local;8;8;8;8;8;9;9;9;7;8;8;9;9;9;9;9;9;9;9;9;8;8;8;8;9;9;9;6;5;1;3;8;9;8;8;8;9;8;9;9;9;9;1;9;8;8;8;8;8;8;9;8;9;9
Desarrollo Local;9;9;6;6;9;9;9;9;9;9;9;9;9;9;9;9;9;7;7;8;9;6;7;7;7;8;8;6;6;7;6;8;9;7;7;9;7;7;9;9;8;9;7;8;6;9;9;7;8;8;9;8;9;9
MatemAtica;8;9;9;9;9;9;9;9;9;9;8;8;9;9;9;9;9;9;9;9;7;9;5;9;9;9;9;9;9;8;9;9;9;5;9;9;9;9;9;9;9;9;2;8;9;9;9;9;9;9;9;9;9;9
MatemAtica;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Bibliotecologia, Mencion Gestion de la Informacion;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;6;9;7;9;9;9;9;9;9;9;9;9;9;9;9;7;9;9;9;9;6;9;9;9;9;9;9
MatemAtica;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;1;5;1;3;9;9;9;9;9;9;9;9;5;9;9;1;9;9;8;9;2;8;9;9;9;9;9
Bibliotecologia, Mencion Gestion de la Informacion;9;7;8;7;9;8;7;8;9;8;8;8;9;8;8;8;8;8;8;8;8;8;8;8;6;7;7;5;7;8;7;7;8;5;6;7;8;8;5;5;6;6;7;7;7;7;7;7;7;7;8;8;8;8
MatemAtica;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;1;9;9;2;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Bibliotecologia, Mencion Gestion de la Informacion;7;6;8;9;9;6;7;9;9;9;9;7;9;9;9;9;8;9;9;9;9;9;8;9;5;8;7;1;9;2;6;9;9;9;9;9;9;9;9;7;6;9;6;9;9;1;5;6;5;5;9;9;9;7
Administracion de Empresas;6;8;9;9;9;7;8;9;8;9;8;8;9;9;8;8;9;9;8;8;5;5;1;7;8;8;7;7;9;3;5;8;8;7;8;8;8;9;7;9;9;9;7;9;8;8;8;9;8;8;9;9;8;8
Administracion de Empresas;8;8;8;8;8;8;8;9;7;8;8;8;9;8;8;8;8;8;8;8;8;8;8;8;7;7;7;6;6;8;7;7;8;7;7;7;7;8;7;7;7;7;8;8;7;7;8;7;7;7;8;8;8;8
Administracion de Empresas;8;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;7;8;7;7;8;5;7;8;8;6;8;9;9;9;9;9;8;9;2;8;9;8;9;9;8;9;9;9;9;9
Administracion de Empresas;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
HidrAulica, Mencion Gestion de Recursos Hidricos;6;7;6;9;8;8;7;9;8;8;8;7;9;9;8;8;8;8;7;9;8;7;5;4;9;8;5;8;5;8;8;8;8;7;8;7;7;9;6;7;8;9;1;7;8;8;8;4;7;7;7;7;9;7
Administracion de Empresas;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;1;1;1;9;9;9;7
HidrAulica, Mencion Gestion de Recursos Hidricos;5;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;7;8;9;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Administracion de Empresas;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Ambiente;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Estadistica, Mencion Estadistica Aplicada;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Ambiente;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9
Administracion de Empresas;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;9;8;6;8;5;6;8;7;8;8;9;9;9;9;9;9;9;8;9;9;9;9;9;7;8;9;9;9;9
